id,host_since,host_response_rate,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location
10712,2013,97,II Parioli/Nomentano,Entire rental unit,Entire home/apt,8,3,3,388,3,30,2,5,4,5
15748,2018,100,I Centro Storico,Entire rental unit,Entire home/apt,11,3,3,255,3,1125,2,5,4.5,5
20039,2011,100,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,4,3,3,150,3,1125,2,5,5,5
21760,2013,97,I Centro Storico,Entire rental unit,Entire home/apt,9,3,4,275,3,1125,2,4.5,5,5
22100,2019,100,I Centro Storico,Entire condominium (condo),Entire home/apt,10,4,3,196,3,1125,2,4.5,5,5
9963,2015,100,I Centro Storico,Entire rental unit,Entire home/apt,15,6,6,600,3,1125,2,4.5,4.5,5
22316,2013,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,80,4,365,2,4,2.5,5
23139,2021,50,XII Monte Verde,Entire condominium (condo),Entire home/apt,4,1,3,70,4,15,2,5,5,5
2927,2014,100,I Centro Storico,Entire loft,Entire home/apt,2,1,1,100,4,30,2,5,5,5
518,2011,90,XII Monte Verde,Entire rental unit,Entire home/apt,2,1,1,70,4,90,2,5,5,4.5
2910,2014,100,I Centro Storico,Entire rental unit,Entire home/apt,3,1,2,100,4,1125,2,3,2.5,3.5
8391,2013,100,II Parioli/Nomentano,Entire rental unit,Entire home/apt,4,1,1,120,4,7,2,4.5,4.5,4
11414,2018,100,X Ostia/Acilia,Entire rental unit,Entire home/apt,6,1,3,90,4,30,2,5,5,5
12975,2018,100,I Centro Storico,Entire rental unit,Entire home/apt,2,1,1,219,4,120,2,5,5,5
15802,2016,100,X Ostia/Acilia,Entire rental unit,Entire home/apt,2,1,1,60,4,1125,2,5,5,5
20380,2019,88,I Centro Storico,Entire rental unit,Entire home/apt,4,1,2,75,4,29,2,5,5,5
20653,2014,100,V Prenestino/Centocelle,Entire rental unit,Entire home/apt,3,1,1,58,4,90,2,5,5,4.5
21572,2021,100,II Parioli/Nomentano,Entire rental unit,Entire home/apt,4,1,2,85,4,24,2,5,5,5
23738,2021,100,X Ostia/Acilia,Private room in condominium (condo),Private room,2,1,1,39,4,30,2,5,5,5
19097,2020,100,I Centro Storico,Private room in rental unit,Private room,2,1,2,35,4,1125,2,5,5,5
21166,2019,70,I Centro Storico,Room in hotel,Private room,2,1,1,90,4,30,2,4.5,4.5,5
7385,2016,100,XII Monte Verde,Entire rental unit,Entire home/apt,4,2,2,300,4,1125,2,5,5,5
7846,2016,0,XIV Monte Mario,Entire rental unit,Entire home/apt,4,2,2,240,4,1125,2,5,5,5
15126,2017,100,I Centro Storico,Entire rental unit,Entire home/apt,5,2,2,140,4,90,2,5,5,5
16227,2019,0,XIV Monte Mario,Entire rental unit,Entire home/apt,4,2,2,148,4,30,2,5,5,4
19808,2016,100,VIII Appia Antica,Entire rental unit,Entire home/apt,4,2,2,60,4,30,2,5,5,4.5
2909,2014,100,VII San Giovanni/Cinecitta,Entire villa,Entire home/apt,5,2,2,150,4,1125,2,5,5,5
9071,2014,100,I Centro Storico,Entire rental unit,Entire home/apt,10,2.5,3,550,4,1125,2,4.5,4,5
19668,2012,94,I Centro Storico,Entire rental unit,Entire home/apt,11,3,4,449,4,1125,2,5,5,5
2507,2012,90,IV Tiburtina,Entire rental unit,Entire home/apt,16,8,10,500,4,70,2,4.5,5,3
21702,2017,100,X Ostia/Acilia,Entire condominium (condo),Entire home/apt,6,1,2,67,5,30,2,5,5,5
22644,2010,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,89,5,90,2,5,5,5
22863,2021,83,V Prenestino/Centocelle,Entire condominium (condo),Entire home/apt,2,1,1,70,5,15,2,5,4.5,3.5
6231,2012,100,I Centro Storico,Entire rental unit,Entire home/apt,4,1,1,66,5,1125,2,4,4.5,5
9374,2011,57,X Ostia/Acilia,Entire rental unit,Entire home/apt,4,1,2,60,5,90,2,4.5,4.5,5
10062,2015,100,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,4,1,2,75,5,500,2,1,5,5
11222,2010,100,XV Cassia/Flaminia,Entire rental unit,Entire home/apt,6,1,2,98,5,200,2,4,3,4
17150,2018,13,I Centro Storico,Entire rental unit,Entire home/apt,2,1,1,100,5,300,2,5,5,5
21562,2014,100,X Ostia/Acilia,Entire rental unit,Entire home/apt,4,1,1,75,5,28,2,4.5,4,4
20340,2013,100,I Centro Storico,Private room in bed and breakfast,Private room,1,1,1,38,5,1125,2,5,5,5
23158,2014,90,V Prenestino/Centocelle,Private room in condominium (condo),Private room,2,1,1,25,5,1125,2,5,5,4.5
14044,2018,0,VII San Giovanni/Cinecitta,Private room in guest suite,Private room,2,1,1,120,5,10,2,4.5,5,5
7863,2016,100,X Ostia/Acilia,Entire condominium (condo),Entire home/apt,8,2,2,130,5,1125,2,5,5,4.5
23645,2015,100,IX Eur,Entire villa,Entire home/apt,10,3,4,91,5,365,2,5,5,4
3781,2015,50,XIII Aurelia,Entire rental unit,Entire home/apt,4,1,3,69,6,1125,2,4.5,4.5,4
14842,2019,0,VI Roma delle Torri,Entire rental unit,Entire home/apt,2,1,1,100,6,1125,2,5,5,4.5
20240,2015,25,I Centro Storico,Entire rental unit,Entire home/apt,2,1,1,150,6,1125,2,5,5,5
21349,2014,100,X Ostia/Acilia,Entire rental unit,Entire home/apt,4,1,2,100,6,365,2,5,5,4
21130,2014,0,II Parioli/Nomentano,Private room in rental unit,Private room,1,1.5,1,25,6,1125,2,5,4,5
